indirizzo,codice_lotto,estensione,nome_orto,username_prop
"Strada Melania, Sossano, 37052",82,86.73,"Lago Di Vico Orto Botanico","proprietario1"
"Via Longhena, SantEusebio, 33040",80,72.84,"Oggebbio Luminoso Parco","proprietario1"
"Borgo Taliercio, Montepescali, 33039",20,12.52,"Uscio Nascosto Boschetto","proprietario1"
"Via Briccialdi, Castelraimondo, 20022",40,72.62,"Piovera Parco","proprietario1"
"Borgo Daniele, Castel Ruggero, 23016",85,85.97,"Stabbia Orto","proprietario1"
"Piazza Canevascini, San Chiaffredo, 17046",54,45.14,"Monticchio Bagni Parco","proprietario1"
"Vicolo Flavia, Gonnosno, 67057",77,11.77,"Rocca Di Roffeno Parco","proprietario1"
"Vicolo Pertini, Badolato Marina, 84044",83,32.74,"Baccaiano Orto","proprietario1"
"Piazza Mozart, Solicchiata, 26853",85,42.04,"Acilia Mistico Orto","proprietario1"
"Canale Giorgio, Cascine Vica, 34141",2,20.96,"Salionze Orto","proprietario1"
"Contrada Martino, Castagnoli, 41031",64,23.4,"Copiano Incantato Orto Botanico","proprietario2"
"Piazza Fabrizio, Cerisola, 26029",37,37.64,"Piane Di Morro Orto Botanico","proprietario2"
"Contrada Valerio, Bonate Sotto, 63100",86,28.58,"Mirabello Mistico Aiuola","proprietario2"
"Borgo Fusani, Cineto Romano, 40012",53,20.82,"Vinchiaturo Luminoso Orto","proprietario2"
"Vicolo Barbara, SantElena Irpina, 83027",2,53.14,"Premolo Incantato Orto Botanico","proprietario2"
