nome,data_inizio,data_fine,descrizione,username_prop,id_lotto
'Innovazione Qui','2025-05-27','2025-07-11','Difficile puro giù grande qualità. Invece argomento epoca regione. Lavoro vendere povero risolvere accorgersi egli.','proprietario1',16
'Fioritura Vostro','2025-07-16','2025-07-29',NULL,'proprietario1',14
'Eco Preparare','2025-04-06',NULL,NULL,'proprietario1',15
'Natura Magari','2025-04-18','2025-06-28',NULL,'proprietario1',12
'Soluzioni Spazio','2025-01-04','2025-05-30',NULL,'proprietario1',18
'Innovazione Triste','2025-04-17','2025-04-29',NULL,'proprietario1',13
'Futura Corpo','2025-01-17','2025-02-07','Ospedale forse trarre. Raggiungere ricerca amare poesia.','proprietario1',20
'Natura Spazio','2025-05-25','2025-07-21',NULL,'proprietario1',11
'Verde Vecchio','2025-02-03','2025-04-29','Ritrovare noto dolce condurre.Crisi espressione terzo scienza. Rispondere costruire sorgere ricchezza sguardo probabilmente. Abbandonare compagnia cattolico appena film.','proprietario1',19
'Verde Mese','2025-01-23','2025-08-06',NULL,'proprietario1',17
'Botanico Intenzione','2025-01-26','2025-02-14',NULL,'proprietario2',24
'Raccolta Vostro','2025-02-23',NULL,'Serio famoso giornale animo necessario. Sorgere colpo forse ferro occhio quadro italiano giudizio. Tuttavia spiegare minuto.','proprietario2',25
'Hub Rivolgere','2025-06-18',NULL,NULL,'proprietario2',22
'Innovazione Compagno','2025-05-10','2025-06-22',NULL,'proprietario2',23
'Eco Cattolico','2025-04-09','2025-07-06',NULL,'proprietario2',21
